                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.7984,                0.93842,                0.88332,                 0.7777,                0.68254,                 0.7546,                0.32112,                 1.9591,                0.95256,                0.91903,              0.0098861,              0.0098861,              0.0098861
                     72,                 1.7801,                0.93483,                0.88429,                0.77318,                0.66721,                0.74621,                0.31445,                   1.96,                0.95557,                0.92583,              0.0098845,              0.0098845,              0.0098845
                     73,                 1.7922,                0.93291,                0.88529,                0.79076,                0.70491,                 0.7809,                0.36742,                 1.7932,                 0.8586,                0.89478,              0.0098829,              0.0098829,              0.0098829
                     74,                 1.7974,                0.94624,                0.88086,                0.77279,                0.66291,                0.73778,                0.32532,                   1.87,                0.95046,                0.91461,              0.0098812,              0.0098812,              0.0098812
                     75,                  1.795,                 0.9311,                0.88447,                 0.7615,                0.66758,                0.73515,                0.30707,                 1.9603,                0.98434,                0.92144,              0.0098796,              0.0098796,              0.0098796
                     76,                 1.7882,                0.93161,                 0.8821,                0.77218,                0.69005,                0.75245,                0.31016,                 1.9452,                0.91729,                0.91409,              0.0098779,              0.0098779,              0.0098779
                     77,                  1.788,                0.92115,                0.88362,                0.78975,                0.68211,                0.76618,                0.34867,                 1.7959,                0.93474,                0.89776,              0.0098763,              0.0098763,              0.0098763
                     78,                 1.7779,                0.92579,                0.88285,                0.69474,                0.58486,                 0.6439,                 0.2376,                 2.2088,                 1.1268,                0.96232,              0.0098746,              0.0098746,              0.0098746
                     79,                 1.7788,                0.92087,                0.87802,                0.71193,                0.58523,                0.65219,                0.23871,                 2.1757,                 1.1263,                0.95131,               0.009873,               0.009873,               0.009873
                     80,                 1.7926,                0.93541,                0.88083,                 0.7337,                0.62053,                0.69183,                0.29149,                 1.9494,                 1.0748,                0.92155,              0.0098713,              0.0098713,              0.0098713
                     81,                   1.76,                0.91616,                0.87867,                0.75421,                0.66838,                 0.7309,                0.29746,                 1.9679,                0.95148,                0.91754,              0.0098697,              0.0098697,              0.0098697
                     82,                  1.755,                0.92375,                0.87637,                0.79645,                0.70304,                0.77977,                0.35707,                 1.8001,                0.86955,                0.89637,               0.009868,               0.009868,               0.009868
                     83,                 1.7386,                0.90145,                0.87259,                0.72301,                 0.6304,                0.68782,                0.27481,                   2.08,                  1.052,                0.94228,              0.0098664,              0.0098664,              0.0098664
                     84,                 1.7607,                0.90906,                 0.8793,                0.79351,                0.70466,                0.77685,                0.33923,                 1.8951,                 0.9049,                0.90657,              0.0098647,              0.0098647,              0.0098647
                     85,                 1.7435,                0.90565,                0.88051,                0.77249,                0.66328,                0.74124,                0.32128,                 1.8989,                0.93085,                0.91473,               0.009863,               0.009863,               0.009863
                     86,                 1.7474,                0.90609,                 0.8777,                0.78794,                0.70603,                0.77977,                0.35217,                 1.8733,                0.87766,                0.90869,              0.0098614,              0.0098614,              0.0098614
                     87,                 1.7245,                0.89153,                0.87311,                0.80165,                0.71898,                0.79307,                0.36313,                 1.7888,                 0.8621,                0.89367,              0.0098598,              0.0098598,              0.0098598
                     88,                 1.7611,                0.91323,                 0.8754,                0.77806,                0.70021,                0.77109,                0.34486,                 1.8498,                0.92176,                0.90062,              0.0098581,              0.0098581,              0.0098581
                     89,                 1.7416,                0.90069,                0.87818,                0.80543,                0.69805,                0.78096,                0.35715,                 1.8015,                0.86802,                0.90119,              0.0098565,              0.0098565,              0.0098565
                     90,                 1.7517,                0.90103,                0.87552,                0.75478,                0.64485,                0.72318,                0.30906,                 1.9638,                 1.0102,                0.92448,              0.0098548,              0.0098548,              0.0098548
                     91,                 1.7334,                0.89062,                 0.8793,                0.80471,                0.71878,                0.79332,                0.36593,                 1.8194,                0.85806,                0.90305,              0.0098531,              0.0098531,              0.0098531
                     92,                 1.7664,                0.90947,                0.88235,                0.74371,                0.64212,                0.70769,                0.28081,                 2.0268,                 1.0186,                0.93877,              0.0098515,              0.0098515,              0.0098515
                     93,                 1.7282,                0.89418,                0.87863,                0.79331,                0.70026,                0.77999,                0.36861,                 1.7781,                0.87373,                0.89616,              0.0098499,              0.0098499,              0.0098499
                     94,                 1.7444,                0.90597,                0.87855,                0.79904,                0.70842,                0.78501,                0.35926,                 1.8588,                0.86655,                0.90186,              0.0098482,              0.0098482,              0.0098482
                     95,                 1.7577,                0.90638,                0.87517,                0.81446,                0.73582,                 0.8163,                0.41254,                 1.6554,                0.80585,                 0.8771,              0.0098466,              0.0098466,              0.0098466
                     96,                 1.7418,                0.89399,                 0.8783,                 0.7816,                0.69981,                 0.7766,                0.35433,                 1.7914,                0.89847,                0.89463,              0.0098449,              0.0098449,              0.0098449
                     97,                 1.7539,                0.91814,                0.87962,                0.80534,                0.72733,                0.80033,                0.37423,                  1.764,                0.82083,                0.89362,              0.0098432,              0.0098432,              0.0098432
                     98,                 1.7275,                0.88736,                0.87517,                0.80275,                0.71127,                0.78736,                0.36224,                 1.8099,                0.88884,                0.89647,              0.0098416,              0.0098416,              0.0098416
                     99,                 1.7362,                0.89382,                0.87353,                0.78916,                0.70174,                0.77474,                0.33325,                 1.8434,                0.89707,                0.90096,                0.00984,                0.00984,                0.00984
                    100,                 1.7064,                0.87721,                0.87563,                0.76852,                0.66388,                0.73853,                0.30416,                 2.0159,                0.97495,                0.92474,              0.0098383,              0.0098383,              0.0098383
                    101,                 1.7197,                0.88564,                0.87563,                 0.8077,                0.71776,                0.79731,                 0.3824,                 1.7664,                0.87847,                0.89368,              0.0098367,              0.0098367,              0.0098367
                    102,                 1.7116,                0.88146,                0.87323,                0.79039,                0.70244,                 0.7771,                0.34945,                  1.896,                0.87678,                0.91085,               0.009835,               0.009835,               0.009835
                    103,                 1.6947,                0.87027,                0.87338,                0.78296,                0.68822,                0.76507,                0.33907,                 1.9301,                0.88715,                0.91499,              0.0098333,              0.0098333,              0.0098333
                    104,                 1.7145,                0.87737,                0.87583,                0.76837,                0.66331,                0.74113,                 0.3095,                 2.0336,                0.95266,                0.93051,              0.0098317,              0.0098317,              0.0098317
                    105,                 1.6916,                0.87275,                0.87179,                 0.7869,                0.70143,                0.77506,                0.36058,                 1.7942,                0.87292,                0.90366,                0.00983,                0.00983,                0.00983
                    106,                 1.7185,                0.88693,                0.87647,                0.80529,                 0.7399,                0.81232,                0.39937,                 1.7006,                0.80305,                0.88884,              0.0098284,              0.0098284,              0.0098284
                    107,                 1.6834,                0.85985,                0.86977,                0.80405,                0.71151,                0.79079,                 0.3651,                 1.8344,                0.83806,                0.90131,              0.0098268,              0.0098268,              0.0098268
                    108,                 1.7242,                0.87866,                0.87738,                0.78662,                0.71455,                 0.7864,                0.35419,                 1.8257,                0.85902,                0.90156,              0.0098251,              0.0098251,              0.0098251
                    109,                 1.6922,                0.87125,                0.86668,                0.77145,                0.69498,                 0.7619,                0.31046,                 2.0174,                0.89836,                0.92933,              0.0098234,              0.0098234,              0.0098234
                    110,                  1.691,                0.86824,                0.87046,                0.77905,                0.70008,                0.77151,                0.34108,                 1.8612,                  0.892,                0.90271,              0.0098218,              0.0098218,              0.0098218
                    111,                 1.7018,                0.87528,                0.87409,                0.80519,                0.72347,                0.79914,                0.36013,                 1.8248,                0.83427,                0.89857,              0.0098201,              0.0098201,              0.0098201
                    112,                 1.7142,                0.88676,                0.87249,                0.81737,                 0.7388,                0.81415,                  0.388,                 1.7463,                0.81493,                0.88754,              0.0098185,              0.0098185,              0.0098185
