                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.5329,                0.75447,                0.84813,                0.84944,                0.78909,                0.87417,                0.51136,                 1.2867,                0.62487,                0.79021,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.5037,                0.74083,                 0.8475,                0.84821,                 0.7891,                0.87291,                0.51152,                 1.2735,                0.62392,                0.78799,              0.0093664,              0.0093664,              0.0093664
                     66,                  1.508,                0.74823,                0.84579,                0.84572,                0.79223,                0.87347,                0.51207,                 1.2768,                 0.6187,                0.78808,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.5183,                0.75119,                0.84864,                0.84358,                0.79281,                 0.8738,                0.51047,                 1.2914,                0.62343,                0.78992,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.5164,                0.74512,                 0.8481,                0.84587,                0.79591,                0.87601,                 0.5154,                 1.2642,                0.62249,                0.78745,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.499,                0.72992,                 0.8455,                0.85038,                0.79338,                0.87613,                 0.5155,                  1.256,                0.62683,                0.78568,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.5071,                0.73781,                0.84666,                0.84884,                0.79062,                0.87593,                0.51686,                 1.2516,                0.62037,                0.78572,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.5157,                0.74115,                0.84669,                0.85011,                0.78961,                0.87589,                0.51562,                 1.2551,                0.61793,                0.78637,               0.009307,               0.009307,               0.009307
                     72,                 1.5008,                0.73702,                0.84578,                0.85235,                0.78859,                0.87569,                0.51652,                  1.252,                0.61725,                0.78596,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.4935,                0.73336,                0.84434,                0.85453,                  0.792,                0.87763,                0.52038,                 1.2413,                0.60753,                0.78418,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.4915,                0.72835,                0.84484,                0.85431,                0.79228,                0.87826,                0.52041,                 1.2423,                0.60761,                0.78361,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.4902,                0.73191,                0.84449,                0.85512,                0.79278,                0.87909,                0.52262,                 1.2386,                0.60977,                0.78431,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.4976,                0.72682,                0.84542,                0.85653,                0.79051,                0.87915,                0.52302,                 1.2384,                0.60604,                0.78463,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.4891,                0.72748,                0.84434,                0.85716,                0.79228,                0.87989,                0.52484,                  1.232,                0.59526,                0.78392,              0.0092476,              0.0092476,              0.0092476
                     78,                  1.482,                0.72292,                0.84574,                 0.8593,                0.79231,                0.88118,                0.52711,                 1.2247,                0.59578,                0.78287,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.4762,                0.71628,                0.84169,                0.85465,                 0.7948,                0.88122,                0.52845,                  1.221,                0.59109,                0.78229,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.4773,                0.71689,                0.84431,                0.85452,                0.79759,                0.88258,                0.53011,                  1.219,                0.59082,                0.78201,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.4718,                0.71981,                0.84335,                 0.8543,                0.79859,                0.88308,                0.53087,                 1.2149,                 0.5904,                0.78157,               0.009208,               0.009208,               0.009208
                     82,                 1.4694,                0.72165,                0.84298,                0.85303,                0.80021,                0.88323,                0.53154,                 1.2099,                0.59249,                0.78124,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.4625,                0.70984,                0.84084,                0.85487,                 0.7993,                0.88339,                0.53137,                 1.2079,                0.59008,                0.78076,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.4785,                0.71739,                0.84456,                0.85509,                0.79768,                0.88341,                0.53205,                 1.2054,                 0.5855,                0.78065,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.4539,                0.71117,                0.84242,                0.85519,                0.79809,                0.88305,                0.53304,                 1.2011,                 0.5884,                0.78027,              0.0091684,              0.0091684,              0.0091684
                     86,                  1.457,                0.70612,                0.84089,                0.85992,                0.79536,                0.88369,                0.53331,                 1.1994,                0.58528,                0.77991,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.4497,                0.70515,                0.84139,                0.85538,                0.80194,                0.88479,                0.53448,                 1.1979,                0.58368,                0.77991,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.4584,                0.70859,                0.84309,                0.85802,                0.80166,                0.88601,                0.53594,                 1.1985,                0.58496,                 0.7798,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.4477,                0.70123,                0.84044,                0.86007,                0.80061,                0.88628,                0.53676,                 1.1966,                0.58021,                0.77955,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.4644,                0.71147,                 0.8415,                0.86069,                0.80192,                0.88698,                0.53728,                 1.1988,                0.57579,                0.78012,              0.0091189,              0.0091189,              0.0091189
                     91,                   1.45,                0.70069,                0.84138,                0.86177,                0.80296,                0.88759,                0.53797,                 1.1974,                0.56995,                0.77998,               0.009109,               0.009109,               0.009109
                     92,                 1.4406,                0.69742,                0.84008,                0.86089,                0.80375,                0.88769,                0.53907,                  1.193,                0.56879,                0.77967,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.4572,                0.70723,                 0.8413,                0.86044,                0.80395,                  0.888,                0.53955,                 1.1933,                0.56795,                0.77977,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.4474,                0.70153,                 0.8427,                 0.8608,                0.80343,                0.88845,                0.54004,                 1.1932,                0.56823,                0.77993,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.4377,                0.69327,                0.83825,                0.86217,                0.80411,                0.88937,                 0.5413,                 1.1897,                0.56635,                0.77976,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.4481,                0.69839,                0.83963,                0.86377,                0.80408,                0.88989,                0.54235,                 1.1875,                0.56434,                0.77947,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.4405,                0.69766,                0.84052,                0.86303,                0.80463,                0.88981,                0.54312,                 1.1841,                0.56263,                0.77929,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.4414,                0.69357,                0.83809,                0.86465,                0.80609,                0.89074,                0.54395,                 1.1819,                0.56066,                0.77918,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.4337,                0.69173,                0.83914,                0.86427,                0.80757,                0.89135,                0.54477,                 1.1773,                0.55875,                0.77894,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.4364,                0.69284,                0.84165,                0.86413,                0.80835,                0.89154,                0.54578,                 1.1763,                0.55667,                0.77859,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.4297,                0.68532,                0.84062,                0.86625,                0.80655,                0.89176,                0.54679,                 1.1718,                 0.5552,                0.77809,                0.00901,                0.00901,                0.00901
                    102,                 1.4293,                0.68761,                0.83657,                0.86428,                0.80767,                0.89167,                0.54685,                 1.1717,                 0.5538,                 0.7782,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.4274,                0.68681,                0.83721,                0.86468,                0.80828,                0.89258,                0.54794,                 1.1701,                0.55287,                0.77805,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.4224,                0.68485,                0.83768,                0.86679,                0.80686,                 0.8928,                0.54833,                 1.1697,                0.55233,                 0.7781,              0.0089803,              0.0089803,              0.0089803
                    105,                  1.434,                0.68609,                0.83661,                0.86642,                0.80791,                0.89312,                0.54901,                 1.1678,                0.55116,                0.77791,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.4257,                0.68653,                0.83877,                0.86363,                0.81142,                0.89343,                0.54954,                 1.1651,                0.54916,                0.77764,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.4148,                0.67956,                0.83654,                0.86332,                0.81188,                0.89339,                0.55016,                  1.163,                0.54844,                0.77758,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.4178,                0.68332,                0.83987,                0.86343,                0.81187,                0.89386,                0.55045,                 1.1628,                0.54841,                0.77766,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.4199,                0.68785,                0.83801,                0.86389,                0.81257,                0.89454,                0.55141,                 1.1614,                0.54826,                0.77756,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.4189,                 0.6805,                0.83968,                0.86461,                0.81291,                0.89507,                0.55202,                 1.1593,                0.54778,                0.77753,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.4071,                0.67153,                0.83529,                 0.8649,                0.81403,                0.89573,                 0.5531,                 1.1584,                0.54791,                0.77756,               0.008911,               0.008911,               0.008911
                    112,                 1.4082,                0.67104,                0.83405,                0.86475,                0.81445,                0.89565,                0.55359,                 1.1563,                0.54711,                0.77726,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.4062,                 0.6793,                0.83444,                0.86438,                0.81471,                0.89579,                0.55383,                 1.1551,                0.54688,                0.77724,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.4044,                0.67583,                0.83541,                 0.8645,                0.81471,                0.89587,                0.55424,                 1.1543,                0.54742,                0.77728,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.4069,                 0.6789,                 0.8349,                0.86474,                0.81477,                0.89596,                0.55474,                 1.1539,                0.54661,                0.77735,              0.0088714,              0.0088714,              0.0088714
                    116,                    1.4,                0.67426,                0.83848,                0.86518,                0.81579,                0.89638,                 0.5553,                  1.153,                0.54657,                0.77734,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.4071,                0.67559,                0.83612,                0.86501,                0.81645,                0.89674,                0.55596,                 1.1524,                0.54637,                 0.7773,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.3884,                0.66557,                0.83542,                0.86464,                0.81642,                0.89673,                0.55631,                 1.1518,                0.54705,                 0.7774,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.3935,                 0.6673,                0.83693,                0.86585,                0.81571,                0.89692,                0.55677,                 1.1506,                0.54691,                0.77735,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.3974,                0.67109,                0.83659,                0.86434,                 0.8166,                0.89674,                0.55686,                   1.15,                0.54665,                0.77725,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.3883,                0.66422,                0.83499,                0.86452,                0.81613,                0.89666,                0.55707,                 1.1502,                0.54659,                0.77724,               0.008812,               0.008812,               0.008812
                    122,                  1.395,                0.67106,                0.83606,                0.86545,                0.81558,                0.89694,                0.55764,                  1.149,                0.54625,                 0.7771,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.3958,                0.66743,                0.83844,                0.86559,                0.81592,                0.89726,                0.55803,                 1.1484,                0.54546,                0.77702,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.3913,                0.66879,                0.83431,                0.86589,                0.81608,                0.89771,                0.55843,                 1.1457,                0.54436,                0.77677,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.3943,                0.66257,                0.83858,                0.86674,                0.81547,                0.89759,                 0.5587,                 1.1466,                0.54546,                0.77701,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.3842,                0.66116,                0.83387,                0.86563,                0.81581,                 0.8975,                0.55881,                  1.145,                0.54432,                0.77677,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.3759,                0.66027,                0.83438,                0.86689,                0.81529,                0.89763,                0.55953,                 1.1435,                 0.5443,                0.77667,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.3808,                0.66224,                0.83513,                 0.8662,                0.81592,                0.89781,                0.56022,                 1.1427,                0.54384,                0.77663,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.3798,                0.65591,                0.83435,                0.86695,                0.81587,                0.89812,                 0.5607,                 1.1413,                0.54313,                0.77653,              0.0087328,              0.0087328,              0.0087328
                    130,                  1.383,                0.65951,                0.83575,                0.86691,                0.81608,                0.89831,                 0.5612,                 1.1399,                0.54307,                 0.7764,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.3801,                0.66129,                0.83302,                0.86753,                0.81539,                0.89845,                0.56213,                 1.1378,                0.54235,                0.77626,               0.008713,               0.008713,               0.008713
                    132,                 1.3791,                0.65425,                 0.8327,                 0.8676,                0.81575,                0.89877,                 0.5625,                 1.1358,                0.54154,                0.77595,              0.0087031,              0.0087031,              0.0087031
